respondent_id,degree_program,task_data_entry,task_documents,task_computer_use,task_data_analysis,task_physical,task_other,task_client_comms,task_internal_comms,task_managing,task_decision_making,task_creative,task_teaching,task_caregiving,skill_financial_statements,skill_tax_computation,skill_auditing,skill_cost_accounting,skill_bookkeeping,skill_business_law,skill_management_accounting,skill_pfrs,skill_computerized_accounting,skill_data_interpretation,skill_marketing_principles,skill_human_resource_mgmt,skill_operations_management,skill_business_communication,skill_financial_management,skill_entrepreneurship,skill_business_ethics,skill_strategic_management,skill_consumer_behavior,skill_business_research,skill_programming,skill_database_management,skill_network_administration,skill_web_development,skill_systems_analysis,skill_cybersecurity,skill_technical_documentation,skill_software_testing,skill_cloud_computing,skill_it_project_management,skill_algorithms_ds,skill_software_engineering,skill_operating_systems,skill_computer_architecture,skill_machine_learning_basics,skill_theory_of_computation,skill_mobile_development,skill_parallel_computing,skill_research_methods_cs,skill_capstone_systems,skill_lesson_planning,skill_classroom_management,skill_curriculum_development,skill_educational_assessment,skill_child_development,skill_inclusive_education,skill_teaching_strategies,skill_educational_technology,skill_professional_ethics_ed,skill_community_engagement,skill_patient_assessment,skill_medication_administration,skill_health_education,skill_nursing_care_planning,skill_infection_control,skill_emergency_care,skill_maternal_child_nursing,skill_community_health_nursing,skill_mental_health_nursing,skill_nursing_research,vulnerability_score
25,BS Accountancy,0.33681379263369726,0.05288628308546202,0.13238200065922118,0.1434728435126466,0.0,0.02803851940484204,0.11259375426131366,0.0692713441917419,0.009703880835298932,0.08270664609499101,0.0225192483655704,0.0,0.009611686955214757,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6785
26,BS Accountancy,0.3078178666119073,0.08356267614160204,0.24090350969189595,0.08099305638955406,0.015917781572317147,0.040164625660267954,0.05438003174876452,0.06435174314771103,0.02216305388257961,0.07887611346836747,0.005342560814328534,0.0,0.0055269808707045,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
27,BS Accountancy,0.3482114875869403,0.0396955505858621,0.16596445423703526,0.1579968323564764,0.005260951556215981,0.02716292800296399,0.08418094457233355,0.04283152338849138,0.01336917816825267,0.06670977654796832,0.046120390100260505,0.002495982897199308,0.0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6162
28,BS Accountancy,0.3630311373144884,0.08523731261466391,0.1399063608138324,0.1687479368815634,0.0,0.006077164541135038,0.049277877679256676,0.03913752506860953,0.036043330124202286,0.09102874141559275,0.021512613546655682,0.0,0.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5679
29,BS Accountancy,0.21638497784318542,0.10416365837931953,0.18071377118111803,0.1565812437461865,0.005819806667443218,0.010213368496236094,0.1001980774121787,0.07484271679845066,0.044902911013988314,0.09404645822867963,0.0,0.012133010233214017,0.0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6355
30,BS Accountancy,0.3231461849875962,0.06358726391886312,0.1427905367614833,0.1585181901053966,0.0,0.027648281866734487,0.07783508576778599,0.08439872791079105,0.0560464882715895,0.04776255619516484,0.015732525297928093,0.0,0.002534158916666798,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5644
31,BS Accountancy,0.3939282670482543,0.07604794679963912,0.06496098155132496,0.1638514952283306,0.016120598661990886,0.0,0.11750281927988258,0.07846721752625252,0.006410781829095179,0.0703523830144783,0.004416107022387884,0.00794140203836369,0.0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6363
32,BS Accountancy,0.2716034513288772,0.101472193997499,0.15942644295483893,0.08447192507605016,0.0,0.031239252575599757,0.1227875879334252,0.07809633555774508,0.04184347658312517,0.05534764598723086,0.012610331725235697,0.03217369581640587,0.00892766046396707,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6038
33,BS Accountancy,0.0411334219868617,0.14830606373817118,0.19360700008901538,0.2014077031040353,0.03002121514862619,0.06776314623654484,0.08687372282702528,0.07483146170375747,0.072542882364009,0.08057852035489974,0.001520729874601478,0.0014141325724525593,0.0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5491
34,BS Accountancy,0.3176633246704028,0.06545093683073559,0.20793633766090674,0.1602104893083341,0.0,0.0073781995973062455,0.04495617419821704,0.04287519293218047,0.03103850879208411,0.06975777788785169,0.01871551862336027,0.02349505925963529,0.010522480238985886,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6252
35,BS Accountancy,0.16331139190452365,0.10908760002101094,0.1882106114713155,0.11270013266319756,0.0,0.03184243627221115,0.12242591396720141,0.09619732137289068,0.03742798545494127,0.09940045899413465,0.0,0.03819284262236671,0.0012033052562063125,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5281
36,BS Accountancy,0.1587590230052485,0.1516611317988964,0.1652097690677332,0.15710913856790398,0.0,0.007331601674199295,0.12447999044324275,0.06472204031316602,0.04602554156332026,0.07123450931266255,0.025869480943562357,0.02759777331006466,0.0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6525
37,BS Accountancy,0.2745931410920094,0.07175357795337496,0.1502922647450445,0.11036019145333462,0.0,0.016369633230392835,0.08807712040661628,0.06389167612872522,0.038402782513463414,0.14366789836887148,0.01301112883528374,0.01834505873335932,0.011235526539524034,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5966
38,BS Accountancy,0.20915044146645737,0.10902301096607901,0.2838279259992547,0.1415944611708362,0.0,0.011058420083928764,0.06555826633556329,0.04964415986317366,0.0372727971892447,0.05632704942005786,0.011075311089919958,0.02546815641548465,0.0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.6432
39,BS Accountancy,0.28003749227972136,0.08688111474038818,0.14576247462909678,0.19712269553727063,0.0,0.04120043897593051,0.09919839735146832,0.0333668165561517,0.043624630412892704,0.03191645145346862,0.018577710345904722,0.02231177771770636,0.0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6089
40,BS Accountancy,0.2687999999172235,0.0926706949031016,0.1766923760475973,0.14620566031996085,0.0,0.030614952434424053,0.12791530727313855,0.05438555805443712,0.02471566513987427,0.06965336169574207,0.003030863996716907,0.005315560217783741,0.0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6525
41,BS Accountancy,0.18566494709841896,0.09517209252223523,0.23022297253701496,0.1174798077121134,0.0,0.027495855511529964,0.12085885239422656,0.06297613364912492,0.03177056099726189,0.10222415991614066,0.0,0.02005549196326544,0.006079125698668067,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5678
42,BS Accountancy,0.24389512222585952,0.06656475096280481,0.21581109909364135,0.15577975933859758,0.0,0.005253079198054391,0.10705989513348177,0.07557154302980748,0.005958125067053519,0.07777980665160121,0.005231296657699297,0.016594658405279614,0.024500864236119316,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.529
43,BS Accountancy,0.3231166591928291,0.06555356899750234,0.12306538590868245,0.1201695283797444,0.0,0.024709084740960563,0.08824680497880277,0.06009123692660359,0.04943848037444403,0.1214031863314163,0.004214670651704275,0.01591538788707186,0.004076005630238442,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6006
44,BS Accountancy,0.30462210810476853,0.11533507771716213,0.2207094800775598,0.09616659367978928,0.0,0.030534912893837057,0.08362111920858598,0.050349391667636405,0.00776414045458332,0.09089717619607751,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5492
45,BS Accountancy,0.23855958692032694,0.1252065719804981,0.18701047924258302,0.12703931007394978,0.005522245332612392,0.020187661856336518,0.04616694118042153,0.0707011802063749,0.02641243043942852,0.12318137966627048,0.006813599331670324,0.02319861376952748,0.0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6515
46,BS Accountancy,0.2822286418432297,0.0825158442719406,0.193128716694636,0.12016536483655961,0.007846386015016969,0.007203476550545426,0.08344197199739703,0.041684902840653223,0.02617908198496952,0.09000699888929181,0.01854766927075533,0.027853125598388772,0.019197819206616257,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5864
47,BS Accountancy,0.3453858943012099,0.061029944959081255,0.12731331463507364,0.1280545467804324,0.0,0.007290395194320388,0.076577445312915,0.04610619150295945,0.041490070182266775,0.13908375859601088,0.009701551589129796,0.0,0.01796688694660063,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5241
48,BS Accountancy,0.3389791339902454,0.11544841707670167,0.2287773617656769,0.08923997076393758,0.021054183777060514,0.011137510757598222,0.028626798213124763,0.03818193142436548,0.042594188979180464,0.06257857366315482,0.008543700779220611,0.014838228809733655,0.0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664
49,BS Accountancy,0.24410798949291518,0.11948189689875499,0.17062612626554288,0.1006995807824227,0.0,0.04548479360187805,0.09910007923098148,0.05231537416176725,0.038647716384001066,0.11842829731639933,0.005930807366584506,0.0,0.005177338498752789,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6288
50,BS Accountancy,0.2656828402120171,0.09524370841282734,0.11323384420222349,0.17233850390264524,0.0,0.01056959996668917,0.09805400230978972,0.07230358345910065,0.01739544488933049,0.1482526873972158,0.0,0.0,0.006925785248160916,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5165
51,BS Accountancy,0.2959316449508193,0.1723412070072213,0.1679472061072568,0.029073985296124292,0.0,0.017461294352210235,0.09702090902441678,0.053297436619887686,0.04948464929885048,0.08464684039178205,0.028095206355840983,0.0028773677268220956,0.0018222528687681428,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6801
